"variable","soil_group","swelling_flag","q_10","q_90","mean","sd","cov","ske"
"e_th","Coarse-grained",NA,0.48,1.34,0.88,0.44,50,2.97
"e_th","Fine-grained",NA,0.63,1.68,1.2,1.03,85.8,4.02
"e_th","Peat",NA,5.39,22.78,13.66,6.81,49.9,0.59
"Cc","Coarse-grained",NA,0.05,0.23,0.14,0.12,85.7,3.42
"Cc","Fine-grained",NA,0.06,0.43,0.23,0.29,126.1,5.12
"Cc","Peat",NA,1.36,9.18,4.73,3.28,69.3,1.26
"sigma_v_th","Coarse-grained",FALSE,1.28,7.01,4.01,3.9,97.3,2.09
"sigma_v_th","Fine-grained",FALSE,1.29,11.32,4.83,5.4,111.8,2.02
"sigma_v_th","Coarse-grained",TRUE,10.55,47.49,25.26,14.71,58.2,0.31
"sigma_v_th","Peat",FALSE,1.41,3.93,2.6,1.65,63.5,1.95
"sigma_v_th","Peat",TRUE,5.78,25.9,13.47,13.06,97,1.41
"sigma_v_th","Fine-grained",TRUE,7.09,641,731.88,3625.34,495.3,7.05
