"borehole","prim_source","long","lat","site","source_id","data_source"
"N75-2A-1","NESCL",-122.125,62.33,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-2B-1","NESCL",-122.125,62.33,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-3A-1","NESCL",-121.875,62.222,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-3B-1","NESCL",-121.875,62.222,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-4B-1","NESCL",-121.107,61.75,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-4B-2","NESCL",-121.107,61.75,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-4D-1","NESCL",-121.107,61.75,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-5A-1","NESCL",-120.898,61.547,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-5A-2","NESCL",-120.898,61.547,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-6A-1","NESCL",-121.375,61.98,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-6B-1","NESCL",-121.375,61.98,"Near Fort Simpson, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-EB-1","NESCL",-119.865,60.243,"East of Sambaa K'e, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-EB-13","NESCL",-119.839,60.243,"East of Sambaa K'e, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-EB-2","NESCL",-119.865,60.243,"East of Sambaa K'e, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N75-EB-8","NESCL",-119.865,60.243,"East of Sambaa K'e, NT","NESCL_1976","Northern Engineering Services Company Limited: Thaw-Settlement Test Data, Fort Simpson Area, Calgary, 1976."
"N74-D4-TC","NESCL",-134.917,69.033,"Near Reindeer Station, NT","NESCL_1975","Northern Engineering Services Company Limited: Geotechnical Data Report Proposed Arctic Gas Pipeline Cross Delta Alternative Route Cannel Depth Anomaly Drilling and Sampling Program: Prepared for Canadian Arctic Gas Study Limited, Calgary, 1975."
"N75-BI-1","NESCL",-123,62.149,"Camsell Bend, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-BI-3","NESCL",-123,62.149,"Camsell Bend, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-BI-4","NESCL",-123,62.149,"Camsell Bend, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-DV1-B","NESCL",-134.894,69.147,"Near Reindeer Station, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV10-A","NESCL",-131.68,67.744,"Near Seven Islands Crossing, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV11-A","NESCL",-133.68,69,"Near Reindeer Station, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV11-B","NESCL",-133.68,69,"Near Reindeer Station, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV3-A","NESCL",-134.26,68.961,"Near Reindeer Station, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV3-B","NESCL",-134.26,68.961,"Near Reindeer Station, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV5-A-2","NESCL",-133.75,68.2,"Near Reindeer Station, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV5-B","NESCL",-133.75,68.2,"Near Reindeer Station, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV51-C","NESCL",-133.56,68.611,"Near Reindeer Station, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-DV9-A","NESCL",-132.56,68.194,"Near Seven Islands Crossing, NT","NESCL_1977b","Northern Engineering Services Company Limited: Laboratory Testing Program for Thaw-Slope Stability, Continuous Permafrost Zone, Calgary, 1977."
"N75-ES-2","NESCL",-121.18,61.837,"Near Fort Simpson, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-ES-3","NESCL",-121.18,61.837,"Near Fort Simpson, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-GB-2","NESCL",-125.57,64.914,"Tulita, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-GB-3","NESCL",-125.57,64.914,"Tulita, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-HR-1","NESCL",-128.67,65.725,"North of Mackenzie Mountains, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-MR-3","NESCL",-121.58,61.924,"Near Fort Simpson, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-NM-1","NESCL",-121.12,61.837,"Near Fort Simpson, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-RI-2","NESCL",-127.15,65.333,"Norman Wells, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
"N75-RI-4","NESCL",-127.15,65.333,"Norman Wells, NT","NESCL_1977a","Northern Engineering Services Company Limited: Laboratory Testing for Thaw Slope Stability: Discontinuous Permafrost Zone, Calgary, 1977."
