"group_luscher","FBD","thaw_strain","method","sub_group","soil_group","group_nelson"
"Clean Sand",750,41.4942,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",760,41.1032,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",770,40.7122,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",780,40.3212,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",790,39.9302,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",800,39.5392,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",810,39.1482,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",820,38.7572,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",830,38.3662,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",840,37.9752,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",850,37.5842,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",860,37.1932,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",870,36.8022,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",880,36.4112,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",890,36.0202,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",900,35.6292,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",910,35.2382,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",920,34.8472,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",930,34.4562,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",940,34.0652,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",950,33.6742,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",960,33.2832,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",970,32.8922,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",980,32.5012,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",990,32.1102,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1000,31.7192,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1010,31.3282,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1020,30.9372,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1030,30.5462,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1040,30.1552,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1050,29.7642,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1060,29.3732,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1070,28.9822,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1080,28.5912,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1090,28.2002,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1100,27.8092,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1110,27.4182,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1120,27.0272,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1130,26.6362,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1140,26.2452,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1150,25.8542,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1160,25.4632,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1170,25.0722,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1180,24.6812,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1190,24.2902,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1200,23.8992,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1210,23.5082,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1220,23.1172,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1230,22.7262,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1240,22.3352,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1250,21.9442,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1260,21.5532,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1270,21.1622,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1280,20.7712,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1290,20.3802,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1300,19.9892,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1310,19.5982,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1320,19.2072,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1330,18.8162,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1340,18.4252,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1350,18.0342,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1360,17.6432,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1370,17.2522,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1380,16.8612,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1390,16.4702,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1400,16.0792,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1410,15.6882,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1420,15.2972,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1430,14.9062,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
"Clean Sand",1440,14.5152,"Luscher and Afifi (1973)","Clean Sand","Coarse-grained",NA
