"USCS_symbol_rep_or_calc","test_id","prim_source","test_name","sample_name","borehole","top","bottom","grain_size_curve","mass_fraction_of_gravel_in_soil","mass_fraction_of_sand_in_soil","mass_fraction_of_silt_in_soil","mass_fraction_of_clay_in_soil","mass_fraction_of_fines_in_soil","loss_on_ignition","LL","PL","IP","D10","D50","D60","USCS_symbol_rpt","soil_description","ground_ice_description","soil_group","USCS_symbol_calc","class","sample_mass_init","mass_of_dry_sample","gravimetric_wc_init","gravimetric_wc_fin","sample_volume_init","solid_grain_density_rep","solid_grain_density_rpt_or_asm","initial_degree_of_saturation_rep","frozen_void_ratio_rep","sample_height_ave_or_typ","sample_diameter_ave_or_typ","frozen_bulk_density_rep","frozen_dry_density_calc","final_bulk_density_rep","reported_test_result_type","sigma_v_1","sigma_v_2","sigma_v_3","sigma_v_4","sigma_v_5","sigma_v_6","sigma_v_7","delta_h_1","delta_h_2","delta_h_3","delta_h_4","delta_h_5","delta_h_6","delta_h_7","epsilon_1","epsilon_2","epsilon_3","epsilon_4","epsilon_5","epsilon_6","epsilon_7","e_1","e_2","e_3","e_4","e_5","e_6","e_7","data_quality_flag","note","source_id","data_source","volumetric_wc_calc","frozen_void_ratio_calc","loading_steps_count","sigma_v_min","sigma_v_max","epsilon_1_calc","epsilon_2_calc","epsilon_3_calc","epsilon_4_calc","epsilon_5_calc","epsilon_6_calc","epsilon_7_calc","e_1_calc","e_2_calc","e_3_calc","e_4_calc","e_5_calc","e_6_calc","e_7_calc","phase_change_strain","num_of_swelling_loading_step","swelling_flag","ave_depth","depth_interval_start","depth_interval_end","in_situ_sigma_v","A0","a0","R_sq","Cc","sigma_v_th_init","R_sq_semilog","ice_level","e_th","excess_water_strain","sigma_v_th","soil_compression_strain_at_100_kpa","total_strain_at_100_kpa","epsilon_sigma_v_e_logP_100","epsilon_sigma_v_e_logP_50","epsilon_sigma_v_e_logP_in_situ","group_speer","group_nixon","group_ladanyi","speer_strain","nixon_strain","ladanyi_strain","group_luscher","input_limits","slope_1","intercept_1","slope_2","intercept_2","luscher_strain","slope_1_luscher","slope_2_luscher","intercept_1_luscher","intercept_2_luscher","group_nelson","FDD_min","FDD_max","a1","a2","a3","a4","a5","a6","gs","FDD","porosity","nelson_strain","group_hanna","hanna_strain","slope_1_hanna","slope_2_hanna","intercept_1_hanna","intercept_2_hanna"
"SM or SC","CEN-001","CEN","INU_2014_F1_115-126","INU_2014_F1_115-126","INU_2014_F1",1.15,1.26,TRUE,13.34,51.18,NA,NA,35.48,NA,"22.347","15.793","6.554",0.011,0.254,0.581,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1516.67,1176.99,28.86,NA,838.22,NA,2.65,NA,NA,114.64,97.23,1809.4,1404.2,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,39.15,42.38,45.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",40.5240446996741,0.887249917099591,3,25,100,34.2,37,39.4,NA,NA,NA,NA,0.242,0.189,0.144,NA,NA,NA,NA,3.88,0,FALSE,1.205,0,1.205,21.38900787,33,0.0662857142857141,0.946006749156356,-0.162774476649481,0.0075117496675815,0.997783626541072,"Ice-rich",0.468215619965628,18.32,1,17.25,39.45,39.453346569872,36.8569760756396,33.6762702538594,"NO","NO","YES",13.2330786015525,19.5154069601023,13.4079962565651,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1404.15955300326,0.470128470564808,6.98745541982726,"Low Plastic Fines",4.90314371597082,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-003","CEN","INU_2014_F1_144-156","INU_2014_F1_144-156","INU_2014_F1",1.44,1.56,TRUE,21.24,52.05,NA,NA,26.71,NA,NA,NA,NA,0.016,0.624,0.981,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1577.11,1250.68,26.1,NA,858.63,NA,2.65,NA,NA,121.89,96.5,1836.8,1456.6,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,16.72,19.8,22.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Higher than 5% fine without LL and PL Data","CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",38.0178271213323,0.819278092334495,3,25,100,13.7,16.2,18.5,NA,NA,NA,NA,0.57,0.525,0.483,NA,NA,NA,NA,3.72,0,FALSE,1.5,1.38,1.5,2.16228096,12.55,0.0614285714285714,0.954825249938032,-0.144503872127601,1.37261808973423,0.999603803486529,"Ice-poor",0.751631277371096,0,1.37261808973423,14.79,18.51,18.5116334744812,16.1205751649634,5.28596739805682,"NO","NO","YES",11.7030624168314,18.0658910390905,12.0385033048252,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1456.62172878668,0.450331423099367,5.62112467543138,"Low Plastic Fines",3.37159415384615,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-004","CEN","INU_2014_F1_186-196","INU_2014_F1_186-196","INU_2014_F1",1.86,1.96,TRUE,11.33,61.97,NA,NA,26.7,NA,NA,NA,NA,0.017,0.52,0.752,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1207.45,979.23,23.31,NA,630.112,NA,2.65,NA,NA,97.67,92.99,1916.2,1554.1,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,7.77,12.17,15.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Higher than 5% fine without LL and PL Data","CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",36.2230330062444,0.705309988518944,3,25,100,8,12.5,16.1,NA,NA,NA,NA,0.569,0.492,0.431,NA,NA,NA,NA,3.42,0,FALSE,1.91,1.5,1.91,7.70714802,6.2,0.102857142857143,0.936768149882904,-0.229213038547228,11.1094117993892,0.995539137101833,"Ice-poor",0.647073383962334,0,11.1094117993892,12.83,16.25,16.2420121297808,12.1958269514528,1.28059872207556,"NO","NO","YES",7.39497487171406,14.0214853527657,8.20778034201642,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1553.96966993756,0.41359635096696,3.88165454833875,"Low Plastic Fines",2.27479547011597,0.6111,1.615,-19.8611,-61.538
"CL+ML","CEN-005","CEN","INU_2014_F2_118-125","INU_2014_F2_118-125","INU_2014_F2",1.18,1.25,TRUE,0.02,25.54,NA,NA,74.44,NA,"22.576","16.003","6.572",NA,NA,NA,"CL+ML",NA,NA,"Fine-grained","CL+ML",NA,783.97,624.34,25.57,NA,431.06,NA,2.65,NA,NA,70,88.55,1818.7,1448.4,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,14.45,15.33,17.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",37.0344501075098,0.829661296530489,3,25,100,20.6,21.9,25.3,NA,NA,NA,NA,0.453,0.429,0.367,NA,NA,NA,NA,3.75,0,FALSE,1.215,0,1.215,21.677358105,18.9,0.0634285714285713,0.996119330584526,-0.142842908080157,0.192735949732011,0.938896411645227,"Ice-rich",0.659019149493647,5.58,1,15.61,24.94,24.9405703701812,22.5904086172087,19.756726574021,"YES","YES","NO",12.711184456645,19.0200994083536,12.9402504861417,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lean Clay",900,1600,287.5,-178.9,-14.9,-245.9,538.9,21.6,2700,1448.3554989249,0.453450755122678,7.25098414418215,"Low Plastic Fines",2.77065246069921,0.6111,1.615,-19.8611,-61.538
"CL+ML","CEN-006","CEN","INU_2014_F2_125-135","INU_2014_F2_125-135","INU_2014_F2",1.25,1.35,TRUE,0.15,36.67,NA,NA,63.18,NA,"22.132","15.71","6.422",NA,NA,NA,"CL+ML",NA,NA,"Fine-grained","CL+ML",NA,1064.05,611.84,73.91,NA,774.65,NA,2.65,NA,NA,102.08,96.43,1373.6,789.8,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,54.69,55.57,56.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",58.3766177908113,2.35513613861386,3,25,100,53.6,54.4,55.7,NA,NA,NA,NA,0.557,0.53,0.486,NA,NA,NA,NA,5.8,0,FALSE,1.3,1.215,1.3,1.14537636,52.95,0.0277142857142855,0.9971386180585,-0.117928447368502,6.65657437691828e-13,0.981248377887361,"Ice-rich",0.724690228070337,42.8,1,7.03,55.63,55.6252482217181,54.5671689506139,48.8027166229753,"YES","YES","NO",41.2851138848051,48.9554380703119,40.5392307758851,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lean Clay",900,1600,287.5,-178.9,-14.9,-245.9,538.9,21.6,2700,789.833822091887,0.701949501097401,35.6477642076588,"Low Plastic Fines",32.7402377321603,0.6111,1.615,-19.8611,-61.538
"CL+ML","CEN-007","CEN","INU_2014_F2_135-144","INU_2014_F2_135-144","INU_2014_F2",1.35,1.44,TRUE,0.19,33.2,NA,NA,66.62,NA,"22.661","16.093","6.568",NA,NA,NA,"CL+ML",NA,NA,"Fine-grained","CL+ML",NA,1189.95,759.14,56.75,NA,827.99,NA,2.65,NA,NA,99.71,99.31,1437.2,916.8,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,41.49,42.69,44.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",52.0325996810207,1.89025535763985,3,25,100,41.6,42.8,44.3,NA,NA,NA,NA,0.688,0.653,0.61,NA,NA,NA,NA,5.4,0,FALSE,1.395,1.3,1.395,1.33939854,40.85,0.0351428571428569,0.984192037470727,-0.129555195700607,2.15312562802382e-07,0.996505787289801,"Ice-rich",0.870443724734548,29.88,1,8.96,44.24,44.2494474035288,42.9000856629853,35.8533531263333,"YES","YES","NO",36.6774681770143,43.4829737837854,35.6414141207429,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lean Clay",900,1600,287.5,-178.9,-14.9,-245.9,538.9,21.6,2700,916.874003189793,0.654009810117059,28.5552061059489,"Low Plastic Fines",22.4946484848485,0.6111,1.615,-19.8611,-61.538
"CL+ML","CEN-009","CEN","INU_2014_F2_160-170","INU_2014_F2_160-170","INU_2014_F2",1.6,1.7,TRUE,0.22,37.66,NA,NA,62.13,NA,"19.256","14.197","5.059",NA,NA,NA,"CL+ML",NA,NA,"Fine-grained","CL+ML",NA,1402.64,1109.52,26.42,NA,763.62,NA,2.65,NA,NA,101.46,97.4,1836.8,1453,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,17,18.18,19.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",38.3865337763012,0.823894817073171,3,25,100,16.8,17.9,19.4,NA,NA,NA,NA,0.517,0.497,0.47,NA,NA,NA,NA,3.73,0,FALSE,1.65,1.55,1.65,1.8019008,16.05,0.0339999999999999,0.989726027397261,-0.0780653102298536,0.0225450840849867,0.992660275614141,"Ice-rich",0.627297287126374,7.05,1,8.56,19.34,19.3392813612208,18.0508298682937,11.8735597170222,"YES","YES","NO",11.7030624168314,18.0658910390905,12.0385033048252,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lean Clay",900,1600,287.5,-178.9,-14.9,-245.9,538.9,21.6,2700,1452.93466223699,0.451722768967174,6.75208916365103,"Low Plastic Fines",3.59691079069767,0.6111,1.615,-19.8611,-61.538
"CL+ML","CEN-010","CEN","INU_2014_F2_170-180","INU_2014_F2_170-180","INU_2014_F2",1.7,1.8,TRUE,0.04,30.06,NA,NA,69.91,NA,"19.711","14.957","4.754",NA,NA,NA,"CL+ML",NA,NA,"Fine-grained","CL+ML",NA,1394.59,1113.66,25.23,NA,730.252,NA,2.65,NA,NA,95.13,98.73,1909.7,1525,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,10.85,11.58,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",38.4745915515452,0.737757239356967,3,25,100,11.4,12.2,13.6,NA,NA,NA,NA,0.54,0.526,0.501,NA,NA,NA,NA,3.51,0,FALSE,1.75,1.65,1.75,1.8734157,10.7,0.0291428571428571,0.998847926267281,-0.0647775978503039,0.205949175881152,0.974167378309138,"Ice-rich",0.632388529033941,2.56,1,7.46,13.53,13.5187988692002,12.3966628447681,7.07977462101094,"YES","YES","NO",7.74088074309024,14.344450778545,8.51416797863803,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lean Clay",900,1600,287.5,-178.9,-14.9,-245.9,538.9,21.6,2700,1524.95408448455,0.424545628496397,4.81405138909403,"Low Plastic Fines",3.65072289714924,0.6111,1.615,-19.8611,-61.538
"SM or SC","CEN-012","CEN","INU_2014_F2_217-227","INU_2014_F2_217-227","INU_2014_F2",2.17,2.27,TRUE,0.1,55.2,NA,NA,44.7,NA,"12.618","10.553","2.065",0.014,0.093,0.115,"inconclusive",NA,NA,"Coarse-grained","SM or SC",NA,1446.19,1191.14,21.41,NA,748.57,NA,2.65,NA,NA,100.88,97.24,1931.9,1591.2,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,10.56,12.32,14.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",34.0680166378387,0.665388995289611,3,25,100,10.5,12.2,14.1,NA,NA,NA,NA,0.491,0.462,0.431,NA,NA,NA,NA,3.3,0,FALSE,2.22,2.04,2.22,3.41134901999999,9.55,0.0465714285714286,0.975223902510644,-0.0996578428466212,1.594768096891,0.999629766753054,"Ice-poor",0.610448619531753,0,1.594768096891,10.76,14.06,14.0541136406138,12.2527326968912,5.2750587107526,"NO","NO","YES",6.56429538405339,13.2470049053459,7.47273060399972,"Silty Sand",1672.1,-0.03504,62.69266,0,4.1,4.1,-0.03504,0,62.69266,4.1,"Silty Sand",600,1500,218,-164,2,1893.4,-253.1,31,2700,1591.21983362161,0.399539685425806,3.18530789391349,"Low Plastic Fines",0.957864967383252,0.6111,1.615,-19.8611,-61.538
"ML","CEN-013","CEN","INU_2014_F2_227-237","INU_2014_F2_227-237","INU_2014_F2",2.27,2.37,TRUE,0.04,46.7,NA,NA,53.26,NA,"12.395","10.843","1.552",NA,NA,NA,"ML",NA,NA,"Fine-grained","ML",NA,1368.83,1132.44,20.87,NA,713.523,NA,2.65,NA,NA,97.14,95.95,1918.4,1587.1,NA,"delta_h-sigma_v",25,50,100,NA,NA,NA,NA,7.33,10.41,12.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"CEN_2020c","St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020.",33.1240241581865,0.669649186822352,3,25,100,7.5,10.7,12.8,NA,NA,NA,NA,0.544,0.491,0.456,NA,NA,NA,NA,3.31,0,FALSE,2.32,2.22,2.32,1.88195040000001,6.45,0.0665714285714286,0.907296610736012,-0.146164836175045,7.87156479897286,0.986245542536933,"Ice-poor",0.614357052130598,0,7.87156479897286,9.66,12.97,12.9757309818283,10.3404468546434,-2.12873621415142,"YES","YES","YES",7.27816476136472,13.9124844931838,8.10435643028924,"Silt",1353.9,-0.06193,88.15101,0,4.3,4.3,-0.06193,0,88.15101,4.3,"ML Lowland",400,900,398.5,27.7,-8.6,-8457.6,6897.9,-176.4,2650,1587.15975841814,0.401071789276175,-2.83668630453187,"Low Plastic Fines",0.380991163067755,0.6111,1.615,-19.8611,-61.538
