"unique_id","prim_source","borehole","sample_name","test_name","top","bottom","grain_size_curve","mass_fraction_of_gravel_in_soil","mass_fraction_of_sand_in_soil","mass_fraction_of_silt_in_soil","mass_fraction_of_clay_in_soil","mass_fraction_of_fines_in_soil","loss_on_ignition","LL","PL","IP","D10","D50","D60","soil_description","ground_ice_description","soil_group","USCS_symbol_rep_or_calc","sample_mass_init","mass_of_dry_sample","gravimetric_wc_init","gravimetric_wc_fin","sample_volume_init","solid_grain_density_rpt_or_asm","initial_degree_of_saturation_rep","sample_height_ave_or_typ","sample_diameter_ave_or_typ","frozen_bulk_density_rep","frozen_dry_density_calc","final_bulk_density_rep","reported_test_result_type","volumetric_wc_calc","frozen_void_ratio_calc","loading_steps_count","sigma_v_min","sigma_v_max","num_of_swelling_loading_step","swelling_flag","A0","a0","R_sq","Cc","sigma_v_th","e_th","R_sq_semilog","ice_level","phase_change_strain","excess_water_strain","soil_compression_strain_at_100_kpa","total_strain_at_100_kpa","data_quality_flag","note"
"CEN-001","CEN","INU_2014_F1","INU_2014_F1_115-126","INU_2014_F1_115-126",1.15,1.26,TRUE,13.34,51.18,NA,NA,35.48,NA,"22.347","15.793","6.554",0.011,0.254,0.581,NA,NA,"Coarse-grained","SM or SC",1516.67,1176.99,28.86,NA,838.22,2.65,NA,114.64,97.23,1809.4,1404.2,NA,"delta_h-sigma_v",40.5240446996741,0.887249917099591,3,25,100,0,FALSE,33,0.0662857142857141,0.946006749156356,-0.162774476649481,1,0.468215619965628,0.997783626541072,"Ice-rich",3.88,18.32,17.25,39.45,"2",NA
"CEN-002","CEN","INU_2014_F1","INU_2014_F1_132-144","INU_2014_F1_132-144",1.32,1.44,TRUE,10.73,63.03,NA,NA,26.24,NA,"24.811","18.097","6.715",0.014,0.577,0.787,NA,NA,"Coarse-grained","SM or SC",1337.11,915.66,46.03,NA,829.89,2.65,NA,122.29,94.44,1611.2,1103.4,NA,"strain-sigma_v",50.7865068821475,1.40180921052632,3,25,100,3,TRUE,-15.73,1.05488238795898e-16,0.4375,-6.38794377331764e-16,Inf,-Inf,0.666666666666666,"Ice-poor",4.82,Inf,-Inf,NA,"0","Deformation measurements was not available. Negative values reported for thaw strain"
"CEN-003","CEN","INU_2014_F1","INU_2014_F1_144-156","INU_2014_F1_144-156",1.44,1.56,TRUE,21.24,52.05,NA,NA,26.71,NA,NA,NA,NA,0.016,0.624,0.981,NA,NA,"Coarse-grained","SM or SC",1577.11,1250.68,26.1,NA,858.63,2.65,NA,121.89,96.5,1836.8,1456.6,NA,"delta_h-sigma_v",38.0178271213323,0.819278092334495,3,25,100,0,FALSE,12.55,0.0614285714285714,0.954825249938032,-0.144503872127601,1.37261808973423,0.751631277371096,0.999603803486529,"Ice-poor",3.72,0,14.79,18.51,"2","Higher than 5% fine without LL and PL Data"
"CEN-004","CEN","INU_2014_F1","INU_2014_F1_186-196","INU_2014_F1_186-196",1.86,1.96,TRUE,11.33,61.97,NA,NA,26.7,NA,NA,NA,NA,0.017,0.52,0.752,NA,NA,"Coarse-grained","SM or SC",1207.45,979.23,23.31,NA,630.112,2.65,NA,97.67,92.99,1916.2,1554.1,NA,"delta_h-sigma_v",36.2230330062444,0.705309988518944,3,25,100,0,FALSE,6.2,0.102857142857143,0.936768149882904,-0.229213038547228,11.1094117993892,0.647073383962334,0.995539137101833,"Ice-poor",3.42,0,12.83,16.25,"2","Higher than 5% fine without LL and PL Data"
"CEN-005","CEN","INU_2014_F2","INU_2014_F2_118-125","INU_2014_F2_118-125",1.18,1.25,TRUE,0.02,25.54,NA,NA,74.44,NA,"22.576","16.003","6.572",NA,NA,NA,NA,NA,"Fine-grained","CL+ML",783.97,624.34,25.57,NA,431.06,2.65,NA,70,88.55,1818.7,1448.4,NA,"delta_h-sigma_v",37.0344501075098,0.829661296530489,3,25,100,0,FALSE,18.9,0.0634285714285713,0.996119330584526,-0.142842908080157,1,0.659019149493647,0.938896411645227,"Ice-rich",3.75,5.58,15.61,24.94,"2",NA
"CEN-006","CEN","INU_2014_F2","INU_2014_F2_125-135","INU_2014_F2_125-135",1.25,1.35,TRUE,0.15,36.67,NA,NA,63.18,NA,"22.132","15.71","6.422",NA,NA,NA,NA,NA,"Fine-grained","CL+ML",1064.05,611.84,73.91,NA,774.65,2.65,NA,102.08,96.43,1373.6,789.8,NA,"delta_h-sigma_v",58.3766177908113,2.35513613861386,3,25,100,0,FALSE,52.95,0.0277142857142855,0.9971386180585,-0.117928447368502,1,0.724690228070337,0.981248377887361,"Ice-rich",5.8,42.8,7.03,55.63,"2",NA
"CEN-007","CEN","INU_2014_F2","INU_2014_F2_135-144","INU_2014_F2_135-144",1.35,1.44,TRUE,0.19,33.2,NA,NA,66.62,NA,"22.661","16.093","6.568",NA,NA,NA,NA,NA,"Fine-grained","CL+ML",1189.95,759.14,56.75,NA,827.99,2.65,NA,99.71,99.31,1437.2,916.8,NA,"delta_h-sigma_v",52.0325996810207,1.89025535763985,3,25,100,0,FALSE,40.85,0.0351428571428569,0.984192037470727,-0.129555195700607,1,0.870443724734548,0.996505787289801,"Ice-rich",5.4,29.88,8.96,44.24,"2",NA
"CEN-008","CEN","INU_2014_F2","INU_2014_F2_150-160","INU_2014_F2_150-160",1.5,1.6,TRUE,0.22,35.82,NA,NA,63.96,NA,"20.933","15.73","5.203",NA,NA,NA,NA,NA,"Fine-grained","CL+ML",1263.32,972.79,29.87,NA,722.9,2.65,NA,95.38,96.15,1747.6,1345.7,NA,"delta_h-sigma_v",40.1946654346654,0.96930361638819,3,25,100,0,FALSE,58.25,0.0362857142857139,0.97798932815911,-0.0913530226094024,1,-0.0644606214478619,0.997252747252747,"Ice-rich",4.07,48.43,9.28,61.78,"0","Erroneous data (negative values for void ratio)"
"CEN-009","CEN","INU_2014_F2","INU_2014_F2_160-170","INU_2014_F2_160-170",1.6,1.7,TRUE,0.22,37.66,NA,NA,62.13,NA,"19.256","14.197","5.059",NA,NA,NA,NA,NA,"Fine-grained","CL+ML",1402.64,1109.52,26.42,NA,763.62,2.65,NA,101.46,97.4,1836.8,1453,NA,"delta_h-sigma_v",38.3865337763012,0.823894817073171,3,25,100,0,FALSE,16.05,0.0339999999999999,0.989726027397261,-0.0780653102298536,1,0.627297287126374,0.992660275614141,"Ice-rich",3.73,7.05,8.56,19.34,"2",NA
"CEN-010","CEN","INU_2014_F2","INU_2014_F2_170-180","INU_2014_F2_170-180",1.7,1.8,TRUE,0.04,30.06,NA,NA,69.91,NA,"19.711","14.957","4.754",NA,NA,NA,NA,NA,"Fine-grained","CL+ML",1394.59,1113.66,25.23,NA,730.252,2.65,NA,95.13,98.73,1909.7,1525,NA,"delta_h-sigma_v",38.4745915515452,0.737757239356967,3,25,100,0,FALSE,10.7,0.0291428571428571,0.998847926267281,-0.0647775978503039,1,0.632388529033941,0.974167378309138,"Ice-rich",3.51,2.56,7.46,13.53,"2",NA
