group_hanna,group_luscher,group_nelson,soil_group,ave_a0,input_limits,slope_1,intercept_1,slope_2,intercept_2,FDD_min,FDD_max,a1,a2,a3,a4,a5,a6,gs,method,sub_group,USCS_symbol_rep_or_calc
High Plastic Soil,NA,NA,Fine-grained,0.067,100,1.587,-58.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),High Plastic Soil,CH
High Plastic Soil,NA,NA,Fine-grained,0.067,100,1.587,-58.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),High Plastic Soil,CI
High Plastic Soil,NA,NA,Fine-grained,0.067,100,1.587,-58.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),High Plastic Soil,CI-CH
High Plastic Soil,NA,NA,Fine-grained,0.067,100,1.587,-58.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),High Plastic Soil,ICE+CI
High Plastic Soil,NA,NA,Fine-grained,0.067,100,1.587,-58.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),High Plastic Soil,MH
Gravel,NA,NA,Coarse-grained,0.011,23,1,-18,1.234,-23.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Gravel,GC-SC
Gravel,NA,NA,Coarse-grained,0.011,23,1,-18,1.234,-23.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Gravel,GM
Gravel,NA,NA,Coarse-grained,0.011,23,1,-18,1.234,-23.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Gravel,SW or SP
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,CL
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,CL-CI
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,CL-ML
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,CL+ML
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,ML
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,ML or CL
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,ML or SM
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,SC
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,SC-CL
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,SM
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,SM-ML
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,SM or SC
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,SP
Low Plastic Fines,NA,NA,Fine-grained,0.039,41.5,0.6111,-19.8611,1.615,-61.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanna et al. (1983),Low Plastic Fines,SP-SM
