test_id,prim_source,test_name,sample_name,borehole,top,bottom,grain_size_curve,mass_fraction_of_gravel_in_soil,mass_fraction_of_sand_in_soil,mass_fraction_of_silt_in_soil,mass_fraction_of_clay_in_soil,mass_fraction_of_fines_in_soil,loss_on_ignition,LL,PL,IP,D10,D50,D60,USCS_symbol_rpt,soil_description,ground_ice_description,soil_group,USCS_symbol_calc,USCS_symbol_rep_or_calc,class,sample_mass_init,mass_of_dry_sample,gravimetric_wc_init,gravimetric_wc_fin,sample_volume_init,solid_grain_density_rep,solid_grain_density_rpt_or_asm,initial_degree_of_saturation_rep,frozen_void_ratio_rep,sample_height_ave_or_typ,sample_diameter_ave_or_typ,frozen_bulk_density_rep,frozen_dry_density_calc,final_bulk_density_rep,reported_test_result_type,sigma_v_1,sigma_v_2,sigma_v_3,sigma_v_4,sigma_v_5,sigma_v_6,sigma_v_7,delta_h_1,delta_h_2,delta_h_3,delta_h_4,delta_h_5,delta_h_6,delta_h_7,epsilon_1,epsilon_2,epsilon_3,epsilon_4,epsilon_5,epsilon_6,epsilon_7,e_1,e_2,e_3,e_4,e_5,e_6,e_7,data_quality_flag,note,source_id,data_source
CEN-001,CEN,INU_2014_F1_115-126,INU_2014_F1_115-126,INU_2014_F1,1.15,1.26,TRUE,13.34,51.18,NA,NA,35.48,NA,22.347,15.793,6.554,0.011,0.254,0.581,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1516.67,1176.99,28.86,NA,838.22,NA,2.65,NA,NA,114.64,97.23,1809.4,1404.2,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,39.15,42.38,45.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-002,CEN,INU_2014_F1_132-144,INU_2014_F1_132-144,INU_2014_F1,1.32,1.44,TRUE,10.73,63.03,NA,NA,26.24,NA,24.811,18.097,6.715,0.014,0.577,0.787,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1337.11,915.66,46.03,NA,829.89,NA,2.65,NA,NA,122.29,94.44,1611.2,1103.4,NA,strain-sigma_v,25,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.73,-15.73,-15.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Deformation measurements was not available. Negative values reported for thaw strain,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-003,CEN,INU_2014_F1_144-156,INU_2014_F1_144-156,INU_2014_F1,1.44,1.56,TRUE,21.24,52.05,NA,NA,26.71,NA,NA,NA,NA,0.016,0.624,0.981,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1577.11,1250.68,26.1,NA,858.63,NA,2.65,NA,NA,121.89,96.5,1836.8,1456.6,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,16.72,19.8,22.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-004,CEN,INU_2014_F1_186-196,INU_2014_F1_186-196,INU_2014_F1,1.86,1.96,TRUE,11.33,61.97,NA,NA,26.7,NA,NA,NA,NA,0.017,0.52,0.752,inconclusive,NA,NA,Coarse-grained,SM or SC,SM or SC,,1207.45,979.23,23.31,NA,630.112,NA,2.65,NA,NA,97.67,92.99,1916.2,1554.1,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,7.77,12.17,15.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Higher than 5% fine without LL and PL Data,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-005,CEN,INU_2014_F2_118-125,INU_2014_F2_118-125,INU_2014_F2,1.18,1.25,TRUE,0.02,25.54,NA,NA,74.44,NA,22.576,16.003,6.572,NA,NA,NA,CL+ML,NA,NA,Fine-grained,CL+ML,CL+ML,,783.97,624.34,25.57,NA,431.06,NA,2.65,NA,NA,70,88.55,1818.7,1448.4,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,14.45,15.33,17.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-006,CEN,INU_2014_F2_125-135,INU_2014_F2_125-135,INU_2014_F2,1.25,1.35,TRUE,0.15,36.67,NA,NA,63.18,NA,22.132,15.71,6.422,NA,NA,NA,CL+ML,NA,NA,Fine-grained,CL+ML,CL+ML,,1064.05,611.84,73.91,NA,774.65,NA,2.65,NA,NA,102.08,96.43,1373.6,789.8,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,54.69,55.57,56.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-007,CEN,INU_2014_F2_135-144,INU_2014_F2_135-144,INU_2014_F2,1.35,1.44,TRUE,0.19,33.2,NA,NA,66.62,NA,22.661,16.093,6.568,NA,NA,NA,CL+ML,NA,NA,Fine-grained,CL+ML,CL+ML,,1189.95,759.14,56.75,NA,827.99,NA,2.65,NA,NA,99.71,99.31,1437.2,916.8,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,41.49,42.69,44.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-008,CEN,INU_2014_F2_150-160,INU_2014_F2_150-160,INU_2014_F2,1.5,1.6,TRUE,0.22,35.82,NA,NA,63.96,NA,20.933,15.73,5.203,NA,NA,NA,CL+ML,NA,NA,Fine-grained,CL+ML,CL+ML,,1263.32,972.79,29.87,NA,722.9,NA,2.65,NA,NA,95.38,96.15,1747.6,1345.7,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,56.3,57.48,58.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-009,CEN,INU_2014_F2_160-170,INU_2014_F2_160-170,INU_2014_F2,1.6,1.7,TRUE,0.22,37.66,NA,NA,62.13,NA,19.256,14.197,5.059,NA,NA,NA,CL+ML,NA,NA,Fine-grained,CL+ML,CL+ML,,1402.64,1109.52,26.42,NA,763.62,NA,2.65,NA,NA,101.46,97.4,1836.8,1453,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,17,18.18,19.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
CEN-010,CEN,INU_2014_F2_170-180,INU_2014_F2_170-180,INU_2014_F2,1.7,1.8,TRUE,0.04,30.06,NA,NA,69.91,NA,19.711,14.957,4.754,NA,NA,NA,CL+ML,NA,NA,Fine-grained,CL+ML,CL+ML,,1394.59,1113.66,25.23,NA,730.252,NA,2.65,NA,NA,95.13,98.73,1909.7,1525,NA,delta_h-sigma_v,25,50,100,NA,NA,NA,NA,10.85,11.58,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CEN_2020c,"St-amour, A. B., Allard, M., Chiasson, A., Aubé-michaud, S., Mathon-Dufour, V., L’Hérault, E., Bilodeau, S., and Deslauriers, C.: Caractérisation géotechnique et cartographie améliorée du pergélisol dans les communautés nordiques du Nunavik, Inukjuak, Québec, 112 pp., 2020."
