test_id,sample_name,particle_size,pct_passing
NESCL-014,2A-1-8_1,0.8396,98.7
NESCL-014,2A-1-8_1,0.4114,98.3
NESCL-014,2A-1-8_1,0.149,91.2
NESCL-014,2A-1-8_1,0.0773,87.4
NESCL-014,2A-1-8_1,0.0538,78.7
NESCL-014,2A-1-8_1,0.0376,75.7
NESCL-014,2A-1-8_1,0.0233,72.8
NESCL-014,2A-1-8_1,0.0206,65.5
NESCL-014,2A-1-8_1,0.0119,52.2
NESCL-014,2A-1-8_1,0.0107,48.8
NESCL-014,2A-1-8_1,0.0082,40.1
NESCL-014,2A-1-8_1,0.0058,30.8
NESCL-014,2A-1-8_1,0.0044,24.5
NESCL-014,2A-1-8_1,0.0029,20.1
NESCL-014,2A-1-8_1,0.0024,17.9
NESCL-014,2A-1-8_1,0.0013,15.5
NESCL-020,2A-1-11_1,12.544,99.3
NESCL-020,2A-1-11_1,9.1728,97.9
NESCL-020,2A-1-11_1,6.3244,97.3
NESCL-020,2A-1-11_1,4.7628,95.5
NESCL-020,2A-1-11_1,1.9744,90
NESCL-020,2A-1-11_1,0.8318,86.2
NESCL-020,2A-1-11_1,0.4257,84.5
NESCL-020,2A-1-11_1,0.148,82.1
NESCL-020,2A-1-11_1,0.0735,79.9
NESCL-020,2A-1-11_1,0.0467,68.6
NESCL-020,2A-1-11_1,0.0351,66.4
NESCL-020,2A-1-11_1,0.0245,62.3
NESCL-020,2A-1-11_1,0.0174,60.3
NESCL-020,2A-1-11_1,0.0125,58.3
NESCL-020,2A-1-11_1,0.0099,55.4
NESCL-020,2A-1-11_1,0.0074,50.2
NESCL-020,2A-1-11_1,0.0052,45.1
NESCL-020,2A-1-11_1,0.0037,40.1
NESCL-020,2A-1-11_1,0.0024,32.8
NESCL-020,2A-1-11_1,0.002,30.2
NESCL-020,2A-1-11_1,0.0011,29
NESCL-036,3A-1-9 ,6.3855,99.8
NESCL-036,3A-1-9 ,1.95978,94.5
NESCL-036,3A-1-9 ,0.81113,87.4
NESCL-036,3A-1-9 ,0.40169,72.9
NESCL-036,3A-1-9 ,0.14532,63.4
NESCL-036,3A-1-9 ,0.04527,56.7
NESCL-036,3A-1-9 ,0.03162,54.9
NESCL-036,3A-1-9 ,0.02276,52.7
NESCL-036,3A-1-9 ,0.02276,52.7
NESCL-036,3A-1-9 ,0.01453,50.8
NESCL-036,3A-1-9 ,0.01046,46.8
NESCL-036,3A-1-9 ,0.00709,43.6
NESCL-036,3A-1-9 ,0.00481,38.7
NESCL-036,3A-1-9 ,0.00289,31.7
NESCL-036,3A-1-9 ,0.00171,27.8
NESCL-036,3A-1-9 ,0.00129,26.2
NESCL-036,3A-1-9 ,0.00073,22.4
NESCL-061,4B-1-8_2,0.42687,100.5
NESCL-061,4B-1-8_2,0.15304,50.6
NESCL-061,4B-1-8_2,0.07462,17.3
NESCL-061,4B-1-8_2,0.05707,14
NESCL-061,4B-1-8_2,0.01505,8
NESCL-061,4B-1-8_2,0.00966,6.6
NESCL-061,4B-1-8_2,0.00638,5
NESCL-061,4B-1-8_2,0.0038,4.1
NESCL-061,4B-1-8_2,0.00248,3.5
NESCL-061,4B-1-8_2,0.00127,2.9
NESCL-061,4B-1-8_2,0.00093,2.3
NESCL-064,4B-1-10_2,0.39662,100.9
NESCL-064,4B-1-10_2,0.14846,89.4
NESCL-064,4B-1-10_2,0.06364,21.7
NESCL-064,4B-1-10_2,0.03343,9.2
NESCL-064,4B-1-10_2,0.01742,6.2
NESCL-064,4B-1-10_2,0.00739,3.9
NESCL-064,4B-1-10_2,0.00434,2.7
NESCL-064,4B-1-10_2,0.00291,2.3
NESCL-064,4B-1-10_2,0.00184,2.1
NESCL-064,4B-1-10_2,0.00129,1.9
NESCL-067,4B-1-11_2,0.15175,99.1
NESCL-067,4B-1-11_2,0.07425,30.6
NESCL-067,4B-1-11_2,0.03201,10.4
NESCL-067,4B-1-11_2,0.02209,7.8
NESCL-067,4B-1-11_2,0.01085,5
NESCL-067,4B-1-11_2,0.0038,2.3
NESCL-067,4B-1-11_2,0.00263,2.1
NESCL-067,4B-1-11_2,0.00148,1.7
NESCL-067,4B-1-11_2,0.00079,1.1
NESCL-072,4B-2-4_2,0.68751,98.3
NESCL-072,4B-2-4_2,0.34956,96.5
NESCL-072,4B-2-4_2,0.13669,22.7
NESCL-072,4B-2-4_2,0.07093,17.1
NESCL-072,4B-2-4_2,0.05073,14.2
NESCL-072,4B-2-4_2,0.03364,12.5
NESCL-072,4B-2-4_2,0.02229,11.3
NESCL-072,4B-2-4_2,0.01392,10.4
NESCL-072,4B-2-4_2,0.00896,8.5
NESCL-072,4B-2-4_2,0.0063,7.3
NESCL-072,4B-2-4_2,0.00405,6.7
NESCL-072,4B-2-4_2,0.00246,4.8
NESCL-073,4B-2-6,0.66713,98.7
NESCL-073,4B-2-6,0.33852,98.3
NESCL-073,4B-2-6,0.06677,8.1
NESCL-073,4B-2-6,0.02416,6.7
NESCL-073,4B-2-6,0.01467,4.6
NESCL-073,4B-2-6,0.01076,4.6
NESCL-073,4B-2-6,0.00702,4.2
NESCL-073,4B-2-6,0.0025,2.7
NESCL-073,4B-2-6,0.00127,2.3
NESCL-076,4B-2-8_2,0.69714,98.8
NESCL-076,4B-2-8_2,0.33843,98.5
NESCL-076,4B-2-8_2,0.13313,40.6
NESCL-076,4B-2-8_2,0.06725,13.3
NESCL-076,4B-2-8_2,0.04672,10
NESCL-076,4B-2-8_2,0.02317,5.2
NESCL-076,4B-2-8_2,0.01285,4.4
NESCL-076,4B-2-8_2,0.00413,3.7
NESCL-076,4B-2-8_2,0.00143,2.5
NESCL-081,4D-1-5_1,0.92012,101
NESCL-081,4D-1-5_1,0.43347,101.1
NESCL-081,4D-1-5_1,0.15368,36
NESCL-081,4D-1-5_1,0.04991,12.1
NESCL-081,4D-1-5_1,0.03605,11.3
NESCL-081,4D-1-5_1,0.016,10.6
NESCL-081,4D-1-5_1,0.01173,9.6
NESCL-081,4D-1-5_1,0.00912,8.6
NESCL-081,4D-1-5_1,0.00576,7.4
NESCL-081,4D-1-5_1,0.00416,6.5
NESCL-081,4D-1-5_1,0.00241,3.9
NESCL-081,4D-1-5_1,0.00129,2.8
NESCL-082,4D-1-5_2,0.45317,101.3
NESCL-082,4D-1-5_2,0.15179,39.2
NESCL-082,4D-1-5_2,0.07778,13.4
NESCL-082,4D-1-5_2,0.03504,12.7
NESCL-082,4D-1-5_2,0.02493,11.7
NESCL-082,4D-1-5_2,0.01646,9.4
NESCL-082,4D-1-5_2,0.01243,8
NESCL-082,4D-1-5_2,0.00858,7
NESCL-082,4D-1-5_2,0.00648,6.8
NESCL-082,4D-1-5_2,0.00435,5.3
NESCL-082,4D-1-5_2,0.00288,5.9
NESCL-082,4D-1-5_2,0.00241,5.3
NESCL-082,4D-1-5_2,0.00126,3.6
NESCL-083,4D-1-6,0.45991,101.3
NESCL-083,4D-1-6,0.15953,66.6
NESCL-083,4D-1-6,0.06514,13
NESCL-083,4D-1-6,0.04493,9.7
NESCL-083,4D-1-6,0.03342,8.7
NESCL-083,4D-1-6,0.02276,8.1
NESCL-083,4D-1-6,0.01461,7.4
NESCL-083,4D-1-6,0.01136,6
NESCL-083,4D-1-6,0.0082,5.4
NESCL-083,4D-1-6,0.00638,4.2
NESCL-083,4D-1-6,0.00428,3.3
NESCL-083,4D-1-6,0.00296,2.5
NESCL-083,4D-1-6,0.00122,1.2
NESCL-087,4D-1-9_1,0.15889,101.2
NESCL-087,4D-1-9_1,0.07822,101
NESCL-087,4D-1-9_1,0.04848,92.7
NESCL-087,4D-1-9_1,0.03586,84.1
NESCL-087,4D-1-9_1,0.02718,68.7
NESCL-087,4D-1-9_1,0.02208,47.1
NESCL-087,4D-1-9_1,0.01556,32.4
NESCL-087,4D-1-9_1,0.01167,23.4
NESCL-087,4D-1-9_1,0.00917,16.4
NESCL-087,4D-1-9_1,0.00633,13.4
NESCL-087,4D-1-9_1,0.00437,10.9
NESCL-087,4D-1-9_1,0.00086,8.8
NESCL-112,5A-2-9_2,0.15695,100.4
NESCL-112,5A-2-9_2,0.07669,96.4
NESCL-112,5A-2-9_2,0.05508,90.7
NESCL-112,5A-2-9_2,0.04009,82.9
NESCL-112,5A-2-9_2,0.02998,71.7
NESCL-112,5A-2-9_2,0.0212,65.3
NESCL-112,5A-2-9_2,0.01466,48.6
NESCL-112,5A-2-9_2,0.01214,35.2
NESCL-112,5A-2-9_2,0.00856,24.8
NESCL-112,5A-2-9_2,0.00597,19
NESCL-112,5A-2-9_2,0.00416,13.7
NESCL-112,5A-2-9_2,0.00291,12.3
NESCL-112,5A-2-9_2,0.00134,7.4
NESCL-117,5A-2-12_2,0.43102,100.5
NESCL-117,5A-2-12_2,0.14986,98.2
NESCL-117,5A-2-12_2,0.07375,63.6
NESCL-117,5A-2-12_2,0.05495,47.5
NESCL-117,5A-2-12_2,0.04037,32.3
NESCL-117,5A-2-12_2,0.03106,19.5
NESCL-117,5A-2-12_2,0.02231,14.1
NESCL-117,5A-2-12_2,0.01631,11.8
NESCL-117,5A-2-12_2,0.0114,10
NESCL-117,5A-2-12_2,0.00619,7
NESCL-117,5A-2-12_2,0.00427,6.5
NESCL-117,5A-2-12_2,0.00312,5.7
NESCL-117,5A-2-12_2,0.00228,5.1
NESCL-117,5A-2-12_2,0.00115,4.2
NESCL-109,5A-2-7_1,2.17556,100.1
NESCL-109,5A-2-7_1,0.86657,100.8
NESCL-109,5A-2-7_1,0.15406,95.4
NESCL-109,5A-2-7_1,0.07693,80.6
NESCL-109,5A-2-7_1,0.05018,65.1
NESCL-109,5A-2-7_1,0.03973,50.7
NESCL-109,5A-2-7_1,0.0301,37.1
NESCL-109,5A-2-7_1,0.02092,27.5
NESCL-109,5A-2-7_1,0.0148,21.2
NESCL-109,5A-2-7_1,0.01146,16.6
NESCL-109,5A-2-7_1,0.00812,13.4
NESCL-109,5A-2-7_1,0.00594,11.8
NESCL-109,5A-2-7_1,0.00403,9.7
NESCL-109,5A-2-7_1,0.00304,8.7
NESCL-109,5A-2-7_1,0.00112,7.4
NESCL-108,5A-2-6_2,0.87941,100.6
NESCL-108,5A-2-6_2,0.14939,74
NESCL-108,5A-2-6_2,0.07724,26
NESCL-108,5A-2-6_2,0.06069,21.2
NESCL-108,5A-2-6_2,0.04554,14.5
NESCL-108,5A-2-6_2,0.0333,13.1
NESCL-108,5A-2-6_2,0.02262,12.3
NESCL-108,5A-2-6_2,0.01447,11.4
NESCL-108,5A-2-6_2,0.01141,11.4
NESCL-108,5A-2-6_2,0.00834,9.8
NESCL-108,5A-2-6_2,0.00526,7.9
NESCL-108,5A-2-6_2,0.00308,6.9
NESCL-108,5A-2-6_2,0.00232,6.7
NESCL-108,5A-2-6_2,0.00126,6.4
NESCL-125,6A-1-9,10.97842,100.1
NESCL-125,6A-1-9,8.4858,95.7
NESCL-125,6A-1-9,5.73492,92.9
NESCL-125,6A-1-9,4.16941,90.2
NESCL-125,6A-1-9,1.76228,77.4
NESCL-125,6A-1-9,0.74605,73.5
NESCL-125,6A-1-9,0.37112,69.6
NESCL-125,6A-1-9,0.13249,61.9
NESCL-125,6A-1-9,0.06891,57.7
NESCL-125,6A-1-9,0.0518,52.3
NESCL-125,6A-1-9,0.03656,49.8
NESCL-125,6A-1-9,0.025,49
NESCL-125,6A-1-9,0.01814,47.5
NESCL-125,6A-1-9,0.01225,45.3
NESCL-125,6A-1-9,0.01017,42.1
NESCL-125,6A-1-9,0.00741,37.9
NESCL-125,6A-1-9,0.00532,34.1
NESCL-125,6A-1-9,0.00387,30.8
NESCL-125,6A-1-9,0.00303,28.8
NESCL-125,6A-1-9,0.00135,20.7
NESCL-125,6A-1-9,0.00098,19.3
NESCL-133,6B-1-8,11.30841,99.9
NESCL-133,6B-1-8,8.09003,98.3
NESCL-133,6B-1-8,5.45635,96.8
NESCL-133,6B-1-8,3.96228,95
NESCL-133,6B-1-8,1.73185,89.3
NESCL-133,6B-1-8,0.75674,83.8
NESCL-133,6B-1-8,0.36577,79.5
NESCL-133,6B-1-8,0.13661,71
NESCL-133,6B-1-8,0.04965,61.2
NESCL-133,6B-1-8,0.03356,58.1
NESCL-133,6B-1-8,0.02335,55.7
NESCL-133,6B-1-8,0.01724,52.5
NESCL-133,6B-1-8,0.01254,49.4
NESCL-133,6B-1-8,0.00939,46.4
NESCL-133,6B-1-8,0.00715,42.6
NESCL-133,6B-1-8,0.00537,38
NESCL-133,6B-1-8,0.0038,33.4
NESCL-133,6B-1-8,0.00239,30.4
NESCL-133,6B-1-8,0.00127,22.5
NESCL-133,6B-1-8,0.00111,21.3
NESCL-133,6B-1-8,0.00101,19.7
NESCL-081,4D-1-5_1,0.92012,101
NESCL-081,4D-1-5_1,0.43347,101.1
NESCL-081,4D-1-5_1,0.15368,36
NESCL-081,4D-1-5_1,0.04991,12.1
NESCL-081,4D-1-5_1,0.03605,11.3
NESCL-081,4D-1-5_1,0.016,10.6
NESCL-081,4D-1-5_1,0.01173,9.6
NESCL-081,4D-1-5_1,0.00912,8.6
NESCL-081,4D-1-5_1,0.00576,7.4
NESCL-081,4D-1-5_1,0.00416,6.5
NESCL-081,4D-1-5_1,0.00241,3.9
NESCL-081,4D-1-5_1,0.00129,2.8
NESCL-082,4D-1-5_2,0.45317,101.3
NESCL-082,4D-1-5_2,0.15179,39.2
NESCL-082,4D-1-5_2,0.07778,13.4
NESCL-082,4D-1-5_2,0.03504,12.7
NESCL-082,4D-1-5_2,0.02493,11.7
NESCL-082,4D-1-5_2,0.01646,9.4
NESCL-082,4D-1-5_2,0.01243,8
NESCL-082,4D-1-5_2,0.00858,7
NESCL-082,4D-1-5_2,0.00648,6.8
NESCL-082,4D-1-5_2,0.00435,5.3
NESCL-082,4D-1-5_2,0.00288,5.9
NESCL-082,4D-1-5_2,0.00241,5.3
NESCL-082,4D-1-5_2,0.00126,3.6
NESCL-083,4D-1-6,0.45991,101.3
NESCL-083,4D-1-6,0.15953,66.6
NESCL-083,4D-1-6,0.06514,13
NESCL-083,4D-1-6,0.04493,9.7
NESCL-083,4D-1-6,0.03342,8.7
NESCL-083,4D-1-6,0.02276,8.1
NESCL-083,4D-1-6,0.01461,7.4
NESCL-083,4D-1-6,0.01136,6
NESCL-083,4D-1-6,0.0082,5.4
NESCL-083,4D-1-6,0.00638,4.2
NESCL-083,4D-1-6,0.00428,3.3
NESCL-083,4D-1-6,0.00296,2.5
NESCL-083,4D-1-6,0.00122,1.2
CEN-001,INU_2014_F1_115-126,16.0345295,95.66184622
CEN-001,INU_2014_F1_115-126,6.696422469,89.76641117
CEN-001,INU_2014_F1_115-126,2.01081159,79.75528362
CEN-001,INU_2014_F1_115-126,0.890098699,69.85539046
CEN-001,INU_2014_F1_115-126,0.580824466,60.17797351
